cuisine,cooking-technique,course,x,y,name,id
american,baking,Main Dishes,-0.10906,-0.19031,1-2-3 Jambalaya,1-2-3-Jambalaya-1440919
american,baking,Side Dishes,0.11187,0.26583,Acorn Squash With Maple Apple Stuffing,Acorn-Squash-With-Maple-Apple-Stuffing-Recipezaar
american,baking,Side Dishes,0.020034,-0.16505,All-American Squash Casserole With Crispy Potato Chip Topping,All_american-Squash-Casserole-With-Crispy-Potato-Chip-Topping-My-Recipes
american,baking,Desserts,0.25039,0.24964,Almond-Peach Crisp,Almond-Peach-Crisp-MyRecipes-249225
american,baking,Breads,0.2869,-0.10558,Amaranth Maple Cornbread,Amaranth-Maple-Cornbread-Recipezaar
american,baking,Main Dishes,-1.42E-05,0.24497,American Shepherd's Pie,American-Shepherd_s-Pie-Allrecipes
american,baking,Breads,0.32265,0.23921,Apple Bread,Apple-Bread-My-Recipes
american,baking,Desserts,0.16784,0.25839,Apple-Cranberry Cobbler,Apple-Cranberry-Cobbler-MyRecipes-218990
american,baking,Breads,0.28254,-0.054571,Apple-Ginger Muffins,Apple-Ginger-Muffins-MyRecipes-249644
american,baking,Desserts,0.25953,0.21335,Apple Pie with Cheddar Crust,Apple-Pie-with-Cheddar-Crust-Epicurious-54576
american,baking,Desserts,0.26988,0.24308,Apple Tart,Apple-Tart-MyRecipes-269160
american,baking,Desserts,0.21114,0.16763,Apple-Blueberry Cream Puff Sundaes,Apple_blueberry-Cream-Puff-Sundaes-My-Recipes
american,baking,Desserts,0.29748,0.10046,Apple-Oat Upside-Down Cake,Apple_oat-Upside_down-Cake-My-Recipes
american,baking,Main Dishes,0.084654,0.11209,Apple-Rosemary Roasted Turkey,Apple_rosemary-Roasted-Turkey-Recipezaar
american,baking,Desserts,0.25559,0.24915,Apricot Kugen,Apricot-Kugen-My-Recipes
american,baking,Desserts,0.28572,-0.019469,Apricot-Cheese Crescents,Apricot_cheese-Crescents-My-Recipes
american,baking,Appetizers,-0.022164,-0.14988,Artichoke Dip,Artichoke-Dip-Recipezaar_32
american,baking,Side Dishes,0.17003,-0.019449,Asparagus Casserole,Asparagus-Casserole-My-Recipes
american,baking,Desserts,0.2899,0.22187,Autumn-Apple Strudel,Autumn_apple-Strudel-My-Recipes
american,baking,Lunch|Appetizers,-0.10324,-0.21744,Bacon and Cheddar Toasts,Bacon-And-Cheddar-Toasts-Epicurious
american,baking,Side Dishes,-0.11352,0.24679,Bacon Zucchini and Cornbread Bake,Bacon_-Zucchini_-And-Cornbread-Bake-My-Recipes
american,baking,Side Dishes,-0.19509,-0.11319,Baked Beans Quintet,Baked-Beans-Quintet-Recipezaar
american,baking,Breakfast and Brunch,-0.096118,0.10706,Baked Cheese Grits,Baked-Cheese-Grits-Recipezaar
american,baking,Breakfast and Brunch,0.22223,-0.23791,Baked Eggs With Fresh Herbs and Goat Cheese,Baked-Eggs-With-Fresh-Herbs-And-Goat-Cheese-Recipezaar
american,baking,Side Dishes,0.18021,-0.27149,Baked Grits and Greens,Baked-Grits-and-Greens-MyRecipes-214197
american,baking,Side Dishes,-0.011244,-0.039606,Baked Macaroni with Spinach,Baked-Macaroni-With-Spinach-My-Recipes
american,baking,Lunch|Appetizers,-0.19289,-0.28089,Baked Pimiento Cheese,Baked-Pimiento-Cheese-Recipezaar
american,baking,Side Dishes,-0.13213,0.22351,Baked Sweet Onions,Baked-Sweet-Onions-My-Recipes
american,baking,Main Dishes,-0.20711,0.17219,Baked Ziti With Vegetables and Mushrooms,Baked-Ziti-With-Vegetables-And-Mushrooms-Recipezaar
american,baking,Breads|Desserts,0.35539,0.15261,Banana Bread with Nutella Streusel,Banana-Bread-with-Nutella-Streusel-1333825
american,baking,Desserts,0.30918,0.19185,Banana Layer Cake With Cream Cheese Frosting,Banana-Layer-Cake-With-Cream-Cheese-Frosting-Food_com-134126
american,baking,Desserts,0.29,0.19134,Bananas Foster Bread Pudding,Bananas-Foster-Bread-Pudding-My-Recipes
american,baking,Appetizers,0.0049555,-0.081857,Barbecue Bean Dip,Barbecue-Bean-Dip-My-Recipes
american,baking,Side Dishes,-0.0032938,-0.22881,Barbecue Scalloped Potatoes,Barbecue-Scalloped-Potatoes-My-Recipes
american,baking,Main Dishes,-0.0035732,-0.082919,Barbecued Chicken Pizza,Barbecued-Chicken-Pizza-My-Recipes
american,baking,Lunch|Side Dishes,0.036181,0.022441,Barbecue-Flavored Onion Rings (Baked),Barbecue_flavored-Onion-Rings-_baked_-Recipezaar
american,baking,Breads,0.23229,-0.036119,Basil Pesto-cheese Grits Bread,Basil-Pesto_cheese-Grits-Bread-My-Recipes
american,baking,Main Dishes,-0.03464,-0.28872,Beef Tenderloin With Henry Bain Sauce,Beef-Tenderloin-With-Henry-Bain-Sauce-Recipezaar_1
american,baking,Main Dishes,0.011367,-0.27234,Benne Seed Chicken,Benne-Seed-Chicken-My-Recipes_1
american,baking,Desserts,0.16441,0.23635,Berry Streusel Pie,Berry-Streusel-Pie-Food_com-167528
american,baking,Desserts,0.1843,0.27446,Black and Blue Cobbler,Black-and-Blue-Cobbler-1207147
american,baking,Afternoon Tea|Desserts,0.32449,0.11974,Black Bottom Cheesecake Cups,Black-Bottom-Cheesecake-Cups-Food_com-190109
american,baking,Desserts,0.2132,0.27246,Blackberry Apple Pie,Blackberry-Apple-Pie-TasteOfHome
american,baking,Desserts,0.24028,0.24791,Blackberry Peach Cobbler,Blackberry-Peach-Cobbler-Epicurious
american,baking,Afternoon Tea|Desserts,0.2451,0.24765,Blackberry-Lemon Bars,Blackberry_lemon-Bars-My-Recipes
american,baking,Side Dishes,0.058269,-0.2857,Blue Cheese Cornbread Dressing/ Stuffing,Blue-Cheese-Cornbread-Dressing_-Stuffing-Food_com-152096
american,baking,Desserts,0.26892,-0.21453,Blue Cheese-Walnut Wafers,Blue-Cheese_walnut-Wafers-My-Recipes
american,baking,Breads|Breakfast and Brunch,0.3841,-0.15536,Blueberry Biscuits,Blueberry-Biscuits-My-Recipes
american,baking,Afternoon Tea|Breads,0.34803,0.099267,Blueberry-Lemon Muffins,Blueberry-Lemon-Muffins-1202353
american,baking,Breads|Breakfast and Brunch,0.31545,0.050955,Blueberry Power Muffins With Almond Streusel,Blueberry-Power-Muffins-With-Almond-Streusel-Food_com-122188
american,baking,Breads|Breakfast and Brunch|Desserts,0.35338,0.012774,Blueberry-Almond Coffeecake,Blueberry_almond-Coffeecake-My-Recipes
american,baking,Breads|Breakfast and Brunch,0.32841,0.072824,Blueberry-Streusel Muffins,Blueberry_streusel-Muffins-My-Recipes_1
american,baking,Side Dishes,0.1064,-0.13849,Boston Baked Beans,Boston-Baked-Beans-Recipezaar_15
american,baking,Desserts,0.41795,-0.044364,Bourbon Fudge Brownies,Bourbon-Fudge-Brownies-My-Recipes
american,baking,Side Dishes,0.13773,0.25319,Bourbon-Sweet Potato Stacks,Bourbon_sweet-Potato-Stacks-My-Recipes
american,baking,Breads,0.35435,0.18692,Bread of the Dead,Bread-Of-The-Dead-My-Recipes
