id,value
meat,
meat.bacon,160
meat.baconSlices,142
meat.chickenBreastHalves,89
meat.porkTenderloin,87
meat.ham,57
drinks,
drinks.water,798
drinks.freshLemonJuice,432
drinks.lemonJuice,339
drinks.boilingWater,134
drinks.freshOrangeJuice,131
breakfast,
breakfast.mapleSyrup,193
breakfast.molasses,116
breakfast.oats,86
breakfast.lightCornSyrup,72
breakfast.pureMapleSyrup,61
spicy,
spicy.highSpicy,1144
spicy.lowSpicy,4446
savory,
savory.highSavory,1856
savory.lowSavory,3734
bitter,
bitter.highBitter,2220
bitter.lowBitter,3370
sweet,
sweet.highSweet,2541
sweet.lowSweet,3049
sour,
sour.highSour,2176
sour.lowSour,3414
salty,
salty.highSalty,2808
salty.lowSalty,2782
K,
K.highK,91
K.lowK,5499
saturatedFat,
saturatedFat.highSaturatedFat,77
saturatedFat.lowSaturatedFat,5513
FE,
FE.HasFE,711
FE.NoFE,5513
sugar,
sugar.highSugar,302
sugar.lowSugar,5288
dietaryFiber,
dietaryFiber.highDietaryFiber,34
dietaryFiber.lowDietaryFiber,5556
protein,
protein.highProtein,1211
protein.lowProtein,4379
carb,
carb.highCarb,178
carb.lowCarb,5412
cholesterol,
cholesterol.highCholesterol,2228
cholesterol.lowCholesterol,3362
CA,
CA.highCA,3234
CA.lowCA,2356
VA,
VA.highVA,802
VA.lowVA,4788
transFat,
transFat.highTransFat,265
transFat.lowTransFat,5325
energy,
energy.highEnergy,107
energy.lowEnergy,5483
VC,
VC.highVC,581
VC.lowVC,5009
fat,
fat.highFat,414
fat.lowFat,5176
NA,
NA.highNA,133
NA.lowNA,5457
