id,value
spicy,
spicy.highSpicy,863
spicy.lowSpicy,3206
savory,
savory.highSavory,1671
savory.lowSavory,2398
bitter,
bitter.highBitter,2581
bitter.lowBitter,1488
sweet,
sweet.highSweet,596
sweet.lowSweet,3473
sour,
sour.highSour,1749
sour.lowSour,2320
salty,
salty.highSalty,3140
salty.lowSalty,929
K,
K.highK,152
K.lowK,3917
saturatedFat,
saturatedFat.highSaturatedFat,52
saturatedFat.lowSaturatedFat,4017
FE,
FE.HasFE,687
FE.NoFE,3382
sugar,
sugar.highSugar,132
sugar.lowSugar,3937
dietaryFiber,
dietaryFiber.highDietaryFiber,28
dietaryFiber.lowDietaryFiber,4041
protein,
protein.highProtein,2232
protein.lowProtein,1837
carb,
carb.highCarb,207
carb.lowCarb,3862
cholesterol,
cholesterol.highCholesterol,2739
cholesterol.lowCholesterol,1330
CA,
CA.highCA,2890
CA.lowCA,1179
VA,
VA.highVA,793
VA.lowVA,3276
transFat,
transFat.highTransFat,365
transFat.lowTransFat,3704
energy,
energy.highEnergy,119
energy.lowEnergy,3950
VC,
VC.highVC,1104
VC.lowVC,2965
fat,
fat.highFat,731
fat.lowFat,3338
NA,
NA.highNA,504
NA.lowNA,3565
