id,value
spicy,
spicy.highSpicy,91
spicy.lowSpicy,1569
savory,
savory.highSavory,573
savory.lowSavory,1087
bitter,
bitter.highBitter,515
bitter.lowBitter,1145
sweet,
sweet.highSweet,666
sweet.lowSweet,994
sour,
sour.highSour,560
sour.lowSour,1100
salty,
salty.highSalty,765
salty.lowSalty,895
K,
K.highK,39
K.lowK,1621
saturatedFat,
saturatedFat.highSaturatedFat,41
saturatedFat.lowSaturatedFat,1619
FE,
FE.HasFE,315
FE.NoFE,1345
sugar,
sugar.highSugar,130
sugar.lowSugar,1530
dietaryFiber,
dietaryFiber.highDietaryFiber,3
dietaryFiber.lowDietaryFiber,1657
protein,
protein.highProtein,413
protein.lowProtein,1247
carb,
carb.highCarb,90
carb.lowCarb,1570
cholesterol,
cholesterol.highCholesterol,967
cholesterol.lowCholesterol,693
CA,
CA.highCA,993
CA.lowCA,667
VA,
VA.highVA,158
VA.lowVA,1502
transFat,
transFat.highTransFat,114
transFat.lowTransFat,1546
energy,
energy.highEnergy,26
energy.lowEnergy,1634
VC,
VC.highVC,232
VC.lowVC,1428
fat,
fat.highFat,236
fat.lowFat,1424
NA,
NA.highNA,86
NA.lowNA,1574
