id,value
spicy,
spicy.highSpicy,104
spicy.lowSpicy,1588
savory,
savory.highSavory,529
savory.lowSavory,1163
bitter,
bitter.highBitter,810
bitter.lowBitter,882
sweet,
sweet.highSweet,146
sweet.lowSweet,1546
sour,
sour.highSour,939
sour.lowSour,753
salty,
salty.highSalty,884
salty.lowSalty,808
K,
K.highK,79
K.lowK,1613
saturatedFat,
saturatedFat.highSaturatedFat,23
saturatedFat.lowSaturatedFat,1669
FE,
FE.HasFE,434
FE.NoFE,1258
sugar,
sugar.highSugar,35
sugar.lowSugar,1657
dietaryFiber,
dietaryFiber.highDietaryFiber,37
dietaryFiber.lowDietaryFiber,1655
protein,
protein.highProtein,734
protein.lowProtein,958
carb,
carb.highCarb,50
carb.lowCarb,1642
cholesterol,
cholesterol.highCholesterol,1056
cholesterol.lowCholesterol,636
CA,
CA.highCA,1459
CA.lowCA,233
VA,
VA.highVA,364
VA.lowVA,1328
transFat,
transFat.highTransFat,77
transFat.lowTransFat,1615
energy,
energy.highEnergy,27
energy.lowEnergy,1665
VC,
VC.highVC,455
VC.lowVC,1237
fat,
fat.highFat,267
fat.lowFat,1425
NA,
NA.highNA,69
NA.lowNA,1623
