id,value
spicy,
spicy.highSpicy,67
spicy.lowSpicy,328
savory,
savory.highSavory,125
savory.lowSavory,270
bitter,
bitter.highBitter,107
bitter.lowBitter,288
sweet,
sweet.highSweet,83
sweet.lowSweet,312
sour,
sour.highSour,172
sour.lowSour,223
salty,
salty.highSalty,152
salty.lowSalty,243
K,
K.highK,17
K.lowK,378
saturatedFat,
saturatedFat.highSaturatedFat,7
saturatedFat.lowSaturatedFat,388
FE,
FE.HasFE,94
FE.NoFE,301
sugar,
sugar.highSugar,16
sugar.lowSugar,379
dietaryFiber,
dietaryFiber.highDietaryFiber,3
dietaryFiber.lowDietaryFiber,392
protein,
protein.highProtein,154
protein.lowProtein,241
carb,
carb.highCarb,12
carb.lowCarb,383
cholesterol,
cholesterol.highCholesterol,189
cholesterol.lowCholesterol,206
CA,
CA.highCA,237
CA.lowCA,158
VA,
VA.highVA,87
VA.lowVA,308
transFat,
transFat.highTransFat,7
transFat.lowTransFat,388
energy,
energy.highEnergy,12
energy.lowEnergy,383
VC,
VC.highVC,85
VC.lowVC,310
fat,
fat.highFat,41
fat.lowFat,354
NA,
NA.highNA,20
NA.lowNA,375
