id,value
spicy,
spicy.highSpicy,441
spicy.lowSpicy,643
savory,
savory.highSavory,219
savory.lowSavory,865
bitter,
bitter.highBitter,267
bitter.lowBitter,817
sweet,
sweet.highSweet,41
sweet.lowSweet,1043
sour,
sour.highSour,790
sour.lowSour,294
salty,
salty.highSalty,407
salty.lowSalty,677
K,
K.highK,72
K.lowK,1012
saturatedFat,
saturatedFat.highSaturatedFat,4
saturatedFat.lowSaturatedFat,1080
FE,
FE.HasFE,406
FE.NoFE,678
sugar,
sugar.highSugar,14
sugar.lowSugar,1070
dietaryFiber,
dietaryFiber.highDietaryFiber,15
dietaryFiber.lowDietaryFiber,1069
protein,
protein.highProtein,569
protein.lowProtein,515
carb,
carb.highCarb,33
carb.lowCarb,1051
cholesterol,
cholesterol.highCholesterol,739
cholesterol.lowCholesterol,345
CA,
CA.highCA,859
CA.lowCA,225
VA,
VA.highVA,323
VA.lowVA,761
transFat,
transFat.highTransFat,25
transFat.lowTransFat,1059
energy,
energy.highEnergy,24
energy.lowEnergy,1060
VC,
VC.highVC,479
VC.lowVC,605
fat,
fat.highFat,163
fat.lowFat,921
NA,
NA.highNA,62
NA.lowNA,1022
