id,value
spicy,
spicy.highSpicy,70
spicy.lowSpicy,543
savory,
savory.highSavory,259
savory.lowSavory,354
bitter,
bitter.highBitter,141
bitter.lowBitter,472
sweet,
sweet.highSweet,310
sweet.lowSweet,303
sour,
sour.highSour,92
sour.lowSour,521
salty,
salty.highSalty,318
salty.lowSalty,295
K,
K.highK,9
K.lowK,604
saturatedFat,
saturatedFat.highSaturatedFat,9
saturatedFat.lowSaturatedFat,604
FE,
FE.HasFE,81
FE.NoFE,532
sugar,
sugar.highSugar,41
sugar.lowSugar,572
dietaryFiber,
dietaryFiber.highDietaryFiber,4
dietaryFiber.lowDietaryFiber,609
protein,
protein.highProtein,147
protein.lowProtein,466
carb,
carb.highCarb,28
carb.lowCarb,585
cholesterol,
cholesterol.highCholesterol,317
cholesterol.lowCholesterol,296
CA,
CA.highCA,340
CA.lowCA,273
VA,
VA.highVA,32
VA.lowVA,581
transFat,
transFat.highTransFat,116
transFat.lowTransFat,497
energy,
energy.highEnergy,5
energy.lowEnergy,608
VC,
VC.highVC,36
VC.lowVC,577
fat,
fat.highFat,76
fat.lowFat,537
NA,
NA.highNA,6
NA.lowNA,607
