id,value
spicy,
spicy.highSpicy,11
spicy.lowSpicy,108
savory,
savory.highSavory,40
savory.lowSavory,79
bitter,
bitter.highBitter,37
bitter.lowBitter,82
sweet,
sweet.highSweet,18
sweet.lowSweet,101
sour,
sour.highSour,57
sour.lowSour,62
salty,
salty.highSalty,56
salty.lowSalty,63
K,
K.highK,1
K.lowK,118
saturatedFat,
saturatedFat.highSaturatedFat,0
saturatedFat.lowSaturatedFat,119
FE,
FE.HasFE,33
FE.NoFE,86
sugar,
sugar.highSugar,9
sugar.lowSugar,110
dietaryFiber,
dietaryFiber.highDietaryFiber,1
dietaryFiber.lowDietaryFiber,118
protein,
protein.highProtein,54
protein.lowProtein,65
carb,
carb.highCarb,10
carb.lowCarb,109
cholesterol,
cholesterol.highCholesterol,69
cholesterol.lowCholesterol,50
CA,
CA.highCA,96
CA.lowCA,23
VA,
VA.highVA,28
VA.lowVA,91
transFat,
transFat.highTransFat,18
transFat.lowTransFat,101
energy,
energy.highEnergy,2
energy.lowEnergy,117
VC,
VC.highVC,35
VC.lowVC,84
fat,
fat.highFat,29
fat.lowFat,90
NA,
NA.highNA,10
NA.lowNA,109
