id,value
spicy,
spicy.highSpicy,450
spicy.lowSpicy,505
savory,
savory.highSavory,290
savory.lowSavory,665
bitter,
bitter.highBitter,599
bitter.lowBitter,356
sweet,
sweet.highSweet,136
sweet.lowSweet,819
sour,
sour.highSour,384
sour.lowSour,571
salty,
salty.highSalty,756
salty.lowSalty,199
K,
K.highK,53
K.lowK,902
saturatedFat,
saturatedFat.highSaturatedFat,24
saturatedFat.lowSaturatedFat,931
FE,
FE.HasFE,232
FE.NoFE,723
sugar,
sugar.highSugar,35
sugar.lowSugar,920
dietaryFiber,
dietaryFiber.highDietaryFiber,8
dietaryFiber.lowDietaryFiber,947
protein,
protein.highProtein,497
protein.lowProtein,458
carb,
carb.highCarb,66
carb.lowCarb,889
cholesterol,
cholesterol.highCholesterol,627
cholesterol.lowCholesterol,328
CA,
CA.highCA,745
CA.lowCA,210
VA,
VA.highVA,350
VA.lowVA,605
transFat,
transFat.highTransFat,57
transFat.lowTransFat,898
energy,
energy.highEnergy,36
energy.lowEnergy,919
VC,
VC.highVC,234
VC.lowVC,721
fat,
fat.highFat,170
fat.lowFat,785
NA,
NA.highNA,157
NA.lowNA,798
