cuisine,cooking-technique,course,x,y,name,id
american,baking,Main Dishes,0.38459,0.27336,1-2-3 Jambalaya,1-2-3-Jambalaya-1440919
american,baking,Side Dishes,-0.48988,-0.32034,Acorn Squash With Maple Apple Stuffing,Acorn-Squash-With-Maple-Apple-Stuffing-Recipezaar
american,baking,Side Dishes,0.39217,0.04199,All-American Squash Casserole With Crispy Potato Chip Topping,All_american-Squash-Casserole-With-Crispy-Potato-Chip-Topping-My-Recipes
american,baking,Desserts,-0.41656,-0.56032,Almond-Peach Crisp,Almond-Peach-Crisp-MyRecipes-249225
american,baking,Breads,0.33904,-0.36908,Amaranth Maple Cornbread,Amaranth-Maple-Cornbread-Recipezaar
american,baking,Main Dishes,-0.45469,-0.22849,American Shepherd's Pie,American-Shepherd_s-Pie-Allrecipes
american,baking,Breads,-0.361,-0.65986,Apple Bread,Apple-Bread-My-Recipes
american,baking,Desserts,-0.5185,-0.34521,Apple-Cranberry Cobbler,Apple-Cranberry-Cobbler-MyRecipes-218990
american,baking,Breads,0.24091,-0.4054,Apple-Ginger Muffins,Apple-Ginger-Muffins-MyRecipes-249644
american,baking,Desserts,-0.3078,-0.54167,Apple Pie with Cheddar Crust,Apple-Pie-with-Cheddar-Crust-Epicurious-54576
american,baking,Desserts,-0.36607,-0.61652,Apple Tart,Apple-Tart-MyRecipes-269160
american,baking,Desserts,-0.27016,-0.49576,Apple-Blueberry Cream Puff Sundaes,Apple_blueberry-Cream-Puff-Sundaes-My-Recipes
american,baking,Desserts,-0.047241,-0.56378,Apple-Oat Upside-Down Cake,Apple_oat-Upside_down-Cake-My-Recipes
american,baking,Main Dishes,-0.12053,-0.37129,Apple-Rosemary Roasted Turkey,Apple_rosemary-Roasted-Turkey-Recipezaar
american,baking,Desserts,-0.41652,-0.48552,Apricot Kugen,Apricot-Kugen-My-Recipes
american,baking,Desserts,0.3093,-0.45471,Apricot-Cheese Crescents,Apricot_cheese-Crescents-My-Recipes
american,baking,Appetizers,0.26945,0.31011,Artichoke Dip,Artichoke-Dip-Recipezaar_32
american,baking,Side Dishes,0.087857,-0.1304,Asparagus Casserole,Asparagus-Casserole-My-Recipes
american,baking,Desserts,-0.28735,-0.65582,Autumn-Apple Strudel,Autumn_apple-Strudel-My-Recipes
american,baking,Lunch|Appetizers,0.43579,0.40035,Bacon and Cheddar Toasts,Bacon-And-Cheddar-Toasts-Epicurious
american,baking,Side Dishes,-0.57647,0.011701,Bacon Zucchini and Cornbread Bake,Bacon_-Zucchini_-And-Cornbread-Bake-My-Recipes
american,baking,Side Dishes,0.054232,0.58843,Baked Beans Quintet,Baked-Beans-Quintet-Recipezaar
american,baking,Breakfast and Brunch,-0.36072,0.14989,Baked Cheese Grits,Baked-Cheese-Grits-Recipezaar
american,baking,Breakfast and Brunch,0.68709,-0.27322,Baked Eggs With Fresh Herbs and Goat Cheese,Baked-Eggs-With-Fresh-Herbs-And-Goat-Cheese-Recipezaar
american,baking,Side Dishes,0.69606,-0.13527,Baked Grits and Greens,Baked-Grits-and-Greens-MyRecipes-214197
american,baking,Side Dishes,0.053984,0.17781,Baked Macaroni with Spinach,Baked-Macaroni-With-Spinach-My-Recipes
american,baking,Lunch|Appetizers,0.58375,0.75854,Baked Pimiento Cheese,Baked-Pimiento-Cheese-Recipezaar
american,baking,Side Dishes,-0.68392,0.15771,Baked Sweet Onions,Baked-Sweet-Onions-My-Recipes
american,baking,Main Dishes,-0.49809,0.23559,Baked Ziti With Vegetables and Mushrooms,Baked-Ziti-With-Vegetables-And-Mushrooms-Recipezaar
american,baking,Breads|Desserts,-0.21155,-0.58282,Banana Bread with Nutella Streusel,Banana-Bread-with-Nutella-Streusel-1333825
american,baking,Desserts,-0.25387,-0.63768,Banana Layer Cake With Cream Cheese Frosting,Banana-Layer-Cake-With-Cream-Cheese-Frosting-Food_com-134126
american,baking,Desserts,-0.22352,-0.60692,Bananas Foster Bread Pudding,Bananas-Foster-Bread-Pudding-My-Recipes
american,baking,Appetizers,0.12155,0.032658,Barbecue Bean Dip,Barbecue-Bean-Dip-My-Recipes
american,baking,Side Dishes,0.43663,0.20589,Barbecue Scalloped Potatoes,Barbecue-Scalloped-Potatoes-My-Recipes
