id,value
spicy,
spicy.highSpicy,59
spicy.lowSpicy,201
savory,
savory.highSavory,80
savory.lowSavory,180
bitter,
bitter.highBitter,64
bitter.lowBitter,196
sweet,
sweet.highSweet,69
sweet.lowSweet,191
sour,
sour.highSour,120
sour.lowSour,140
salty,
salty.highSalty,98
salty.lowSalty,162
K,
K.highK,6
K.lowK,254
saturatedFat,
saturatedFat.highSaturatedFat,3
saturatedFat.lowSaturatedFat,257
FE,
FE.HasFE,45
FE.NoFE,215
sugar,
sugar.highSugar,11
sugar.lowSugar,249
dietaryFiber,
dietaryFiber.highDietaryFiber,4
dietaryFiber.lowDietaryFiber,256
protein,
protein.highProtein,98
protein.lowProtein,162
carb,
carb.highCarb,9
carb.lowCarb,251
cholesterol,
cholesterol.highCholesterol,149
cholesterol.lowCholesterol,111
CA,
CA.highCA,184
CA.lowCA,76
VA,
VA.highVA,42
VA.lowVA,218
transFat,
transFat.highTransFat,21
transFat.lowTransFat,239
energy,
energy.highEnergy,7
energy.lowEnergy,253
VC,
VC.highVC,78
VC.lowVC,182
fat,
fat.highFat,36
fat.lowFat,224
NA,
NA.highNA,5
NA.lowNA,255
