id,value
spicy,
spicy.highSpicy,154
spicy.lowSpicy,425
savory,
savory.highSavory,239
savory.lowSavory,340
bitter,
bitter.highBitter,206
bitter.lowBitter,373
sweet,
sweet.highSweet,76
sweet.lowSweet,503
sour,
sour.highSour,378
sour.lowSour,201
salty,
salty.highSalty,288
salty.lowSalty,291
K,
K.highK,27
K.lowK,552
saturatedFat,
saturatedFat.highSaturatedFat,9
saturatedFat.lowSaturatedFat,570
FE,
FE.HasFE,150
FE.NoFE,429
sugar,
sugar.highSugar,23
sugar.lowSugar,556
dietaryFiber,
dietaryFiber.highDietaryFiber,16
dietaryFiber.lowDietaryFiber,563
protein,
protein.highProtein,268
protein.lowProtein,311
carb,
carb.highCarb,29
carb.lowCarb,550
cholesterol,
cholesterol.highCholesterol,339
cholesterol.lowCholesterol,240
CA,
CA.highCA,391
CA.lowCA,188
VA,
VA.highVA,112
VA.lowVA,467
transFat,
transFat.highTransFat,39
transFat.lowTransFat,540
energy,
energy.highEnergy,21
energy.lowEnergy,558
VC,
VC.highVC,175
VC.lowVC,404
fat,
fat.highFat,75
fat.lowFat,504
NA,
NA.highNA,31
NA.lowNA,548
