id,value
spicy,
spicy.highSpicy,354
spicy.lowSpicy,5565
savory,
savory.highSavory,2530
savory.lowSavory,3389
bitter,
bitter.highBitter,3267
bitter.lowBitter,2652
sweet,
sweet.highSweet,3906
sweet.lowSweet,2013
sour,
sour.highSour,1281
sour.lowSour,4638
salty,
salty.highSalty,4080
salty.lowSalty,1839
K,
K.highK,110
K.lowK,5809
saturatedFat,
saturatedFat.highSaturatedFat,161
saturatedFat.lowSaturatedFat,5758
FE,
FE.HasFE,840
FE.NoFE,5079
sugar,
sugar.highSugar,477
sugar.lowSugar,5442
dietaryFiber,
dietaryFiber.highDietaryFiber,42
dietaryFiber.lowDietaryFiber,5877
protein,
protein.highProtein,845
protein.lowProtein,5074
carb,
carb.highCarb,327
carb.lowCarb,5592
cholesterol,
cholesterol.highCholesterol,2909
cholesterol.lowCholesterol,3010
CA,
CA.highCA,4374
CA.lowCA,1545
VA,
VA.highVA,603
VA.lowVA,5316
transFat,
transFat.highTransFat,303
transFat.lowTransFat,5616
energy,
energy.highEnergy,103
energy.lowEnergy,5816
VC,
VC.highVC,414
VC.lowVC,5505
fat,
fat.highFat,750
fat.lowFat,5169
NA,
NA.highNA,157
NA.lowNA,5762
