id,value
spicy,
spicy.highSpicy,33
spicy.lowSpicy,24
savory,
savory.highSavory,18
savory.lowSavory,39
bitter,
bitter.highBitter,9
bitter.lowBitter,48
sweet,
sweet.highSweet,4
sweet.lowSweet,53
sour,
sour.highSour,27
sour.lowSour,30
salty,
salty.highSalty,26
salty.lowSalty,31
K,
K.highK,0
K.lowK,57
saturatedFat,
saturatedFat.highSaturatedFat,2
saturatedFat.lowSaturatedFat,55
FE,
FE.HasFE,57
FE.NoFE,0
sugar,
sugar.highSugar,0
sugar.lowSugar,57
dietaryFiber,
dietaryFiber.highDietaryFiber,2
dietaryFiber.lowDietaryFiber,55
protein,
protein.highProtein,15
protein.lowProtein,42
carb,
carb.highCarb,0
carb.lowCarb,57
cholesterol,
cholesterol.highCholesterol,25
cholesterol.lowCholesterol,32
CA,
CA.highCA,35
CA.lowCA,22
VA,
VA.highVA,20
VA.lowVA,37
transFat,
transFat.highTransFat,7
transFat.lowTransFat,50
energy,
energy.highEnergy,0
energy.lowEnergy,57
VC,
VC.highVC,11
VC.lowVC,46
fat,
fat.highFat,3
fat.lowFat,54
NA,
NA.highNA,1
NA.lowNA,56
