id,value
spicy,
spicy.highSpicy,85
spicy.lowSpicy,467
savory,
savory.highSavory,215
savory.lowSavory,337
bitter,
bitter.highBitter,258
bitter.lowBitter,294
sweet,
sweet.highSweet,99
sweet.lowSweet,453
sour,
sour.highSour,203
sour.lowSour,349
salty,
salty.highSalty,370
salty.lowSalty,182
K,
K.highK,15
K.lowK,537
saturatedFat,
saturatedFat.highSaturatedFat,16
saturatedFat.lowSaturatedFat,536
FE,
FE.HasFE,132
FE.NoFE,420
sugar,
sugar.highSugar,9
sugar.lowSugar,543
dietaryFiber,
dietaryFiber.highDietaryFiber,2
dietaryFiber.lowDietaryFiber,550
protein,
protein.highProtein,309
protein.lowProtein,243
carb,
carb.highCarb,22
carb.lowCarb,530
cholesterol,
cholesterol.highCholesterol,391
cholesterol.lowCholesterol,161
CA,
CA.highCA,345
CA.lowCA,207
VA,
VA.highVA,126
VA.lowVA,426
transFat,
transFat.highTransFat,33
transFat.lowTransFat,519
energy,
energy.highEnergy,19
energy.lowEnergy,533
VC,
VC.highVC,134
VC.lowVC,418
fat,
fat.highFat,107
fat.lowFat,445
NA,
NA.highNA,56
NA.lowNA,496
