id,value
spicy,
spicy.highSpicy,221
spicy.lowSpicy,4195
savory,
savory.highSavory,1938
savory.lowSavory,2478
bitter,
bitter.highBitter,934
bitter.lowBitter,3482
sweet,
sweet.highSweet,1788
sweet.lowSweet,2628
sour,
sour.highSour,1132
sour.lowSour,3284
salty,
salty.highSalty,1364
salty.lowSalty,3052
K,
K.highK,212
K.lowK,4204
saturatedFat,
saturatedFat.highSaturatedFat,224
saturatedFat.lowSaturatedFat,4192
FE,
FE.HasFE,851
FE.NoFE,3565
sugar,
sugar.highSugar,401
sugar.lowSugar,4015
dietaryFiber,
dietaryFiber.highDietaryFiber,53
dietaryFiber.lowDietaryFiber,4363
protein,
protein.highProtein,1310
protein.lowProtein,3106
carb,
carb.highCarb,194
carb.lowCarb,4222
cholesterol,
cholesterol.highCholesterol,3092
cholesterol.lowCholesterol,1324
CA,
CA.highCA,3348
CA.lowCA,1068
VA,
VA.highVA,1010
VA.lowVA,3406
transFat,
transFat.highTransFat,122
transFat.lowTransFat,4294
energy,
energy.highEnergy,151
energy.lowEnergy,4265
VC,
VC.highVC,621
VC.lowVC,3795
fat,
fat.highFat,999
fat.lowFat,3417
NA,
NA.highNA,199
NA.lowNA,4217
