id,value
spicy,
spicy.highSpicy,109
spicy.lowSpicy,381
savory,
savory.highSavory,181
savory.lowSavory,309
bitter,
bitter.highBitter,94
bitter.lowBitter,396
sweet,
sweet.highSweet,96
sweet.lowSweet,394
sour,
sour.highSour,193
sour.lowSour,297
salty,
salty.highSalty,169
salty.lowSalty,321
K,
K.highK,10
K.lowK,480
saturatedFat,
saturatedFat.highSaturatedFat,6
saturatedFat.lowSaturatedFat,484
FE,
FE.HasFE,108
FE.NoFE,382
sugar,
sugar.highSugar,15
sugar.lowSugar,475
dietaryFiber,
dietaryFiber.highDietaryFiber,0
dietaryFiber.lowDietaryFiber,490
protein,
protein.highProtein,190
protein.lowProtein,300
carb,
carb.highCarb,9
carb.lowCarb,481
cholesterol,
cholesterol.highCholesterol,318
cholesterol.lowCholesterol,172
CA,
CA.highCA,361
CA.lowCA,129
VA,
VA.highVA,142
VA.lowVA,348
transFat,
transFat.highTransFat,55
transFat.lowTransFat,435
energy,
energy.highEnergy,4
energy.lowEnergy,486
VC,
VC.highVC,98
VC.lowVC,392
fat,
fat.highFat,61
fat.lowFat,429
NA,
NA.highNA,7
NA.lowNA,483
