id,value
spicy,
spicy.highSpicy,3499
spicy.lowSpicy,2538
savory,
savory.highSavory,1411
savory.lowSavory,4626
bitter,
bitter.highBitter,1971
bitter.lowBitter,4066
sweet,
sweet.highSweet,532
sweet.lowSweet,5505
sour,
sour.highSour,3799
sour.lowSour,2238
salty,
salty.highSalty,1920
salty.lowSalty,4117
K,
K.highK,352
K.lowK,5685
saturatedFat,
saturatedFat.highSaturatedFat,91
saturatedFat.lowSaturatedFat,5946
FE,
FE.HasFE,1831
FE.NoFE,4206
sugar,
sugar.highSugar,129
sugar.lowSugar,5908
dietaryFiber,
dietaryFiber.highDietaryFiber,191
dietaryFiber.lowDietaryFiber,5846
protein,
protein.highProtein,2258
protein.lowProtein,3779
carb,
carb.highCarb,242
carb.lowCarb,5795
cholesterol,
cholesterol.highCholesterol,2515
cholesterol.lowCholesterol,3522
CA,
CA.highCA,5030
CA.lowCA,1007
VA,
VA.highVA,1563
VA.lowVA,4474
transFat,
transFat.highTransFat,342
transFat.lowTransFat,5695
energy,
energy.highEnergy,103
energy.lowEnergy,5934
VC,
VC.highVC,2535
VC.lowVC,3502
fat,
fat.highFat,843
fat.lowFat,5194
NA,
NA.highNA,170
NA.lowNA,5867
