id,value
spicy,
spicy.highSpicy,160
spicy.lowSpicy,1328
savory,
savory.highSavory,411
savory.lowSavory,1077
bitter,
bitter.highBitter,667
bitter.lowBitter,821
sweet,
sweet.highSweet,725
sweet.lowSweet,763
sour,
sour.highSour,464
sour.lowSour,1024
salty,
salty.highSalty,814
salty.lowSalty,674
K,
K.highK,69
K.lowK,1419
saturatedFat,
saturatedFat.highSaturatedFat,32
saturatedFat.lowSaturatedFat,1456
FE,
FE.HasFE,385
FE.NoFE,1103
sugar,
sugar.highSugar,126
sugar.lowSugar,1362
dietaryFiber,
dietaryFiber.highDietaryFiber,8
dietaryFiber.lowDietaryFiber,1480
protein,
protein.highProtein,341
protein.lowProtein,1147
carb,
carb.highCarb,102
carb.lowCarb,1386
cholesterol,
cholesterol.highCholesterol,710
cholesterol.lowCholesterol,778
CA,
CA.highCA,1008
CA.lowCA,480
VA,
VA.highVA,287
VA.lowVA,1201
transFat,
transFat.highTransFat,84
transFat.lowTransFat,1404
energy,
energy.highEnergy,33
energy.lowEnergy,1455
VC,
VC.highVC,253
VC.lowVC,1235
fat,
fat.highFat,201
fat.lowFat,1287
NA,
NA.highNA,43
NA.lowNA,1445
