id,value
spicy,
spicy.highSpicy,860
spicy.lowSpicy,12170
savory,
savory.highSavory,4407
savory.lowSavory,8623
bitter,
bitter.highBitter,6774
bitter.lowBitter,6256
sweet,
sweet.highSweet,927
sweet.lowSweet,12103
sour,
sour.highSour,5080
sour.lowSour,7950
salty,
salty.highSalty,7724
salty.lowSalty,5306
K,
K.highK,492
K.lowK,12538
saturatedFat,
saturatedFat.highSaturatedFat,206
saturatedFat.lowSaturatedFat,12824
FE,
FE.HasFE,3477
FE.NoFE,9553
sugar,
sugar.highSugar,195
sugar.lowSugar,12835
dietaryFiber,
dietaryFiber.highDietaryFiber,181
dietaryFiber.lowDietaryFiber,12849
protein,
protein.highProtein,5281
protein.lowProtein,7749
carb,
carb.highCarb,648
carb.lowCarb,12382
cholesterol,
cholesterol.highCholesterol,7330
cholesterol.lowCholesterol,5700
CA,
CA.highCA,11289
CA.lowCA,1741
VA,
VA.highVA,3418
VA.lowVA,9612
transFat,
transFat.highTransFat,851
transFat.lowTransFat,12179
energy,
energy.highEnergy,332
energy.lowEnergy,12698
VC,
VC.highVC,2220
VC.lowVC,10810
fat,
fat.highFat,1912
fat.lowFat,11118
NA,
NA.highNA,775
NA.lowNA,12255
