id,value
spicy,
spicy.highSpicy,213
spicy.lowSpicy,257
savory,
savory.highSavory,239
savory.lowSavory,231
bitter,
bitter.highBitter,204
bitter.lowBitter,266
sweet,
sweet.highSweet,123
sweet.lowSweet,347
sour,
sour.highSour,211
sour.lowSour,259
salty,
salty.highSalty,249
salty.lowSalty,221
K,
K.highK,20
K.lowK,450
saturatedFat,
saturatedFat.highSaturatedFat,12
saturatedFat.lowSaturatedFat,458
FE,
FE.HasFE,111
FE.NoFE,359
sugar,
sugar.highSugar,20
sugar.lowSugar,450
dietaryFiber,
dietaryFiber.highDietaryFiber,4
dietaryFiber.lowDietaryFiber,466
protein,
protein.highProtein,221
protein.lowProtein,249
carb,
carb.highCarb,16
carb.lowCarb,454
cholesterol,
cholesterol.highCholesterol,267
cholesterol.lowCholesterol,203
CA,
CA.highCA,303
CA.lowCA,167
VA,
VA.highVA,84
VA.lowVA,386
transFat,
transFat.highTransFat,39
transFat.lowTransFat,431
energy,
energy.highEnergy,12
energy.lowEnergy,458
VC,
VC.highVC,109
VC.lowVC,361
fat,
fat.highFat,97
fat.lowFat,373
NA,
NA.highNA,26
NA.lowNA,444
