id,value
spicy,
spicy.highSpicy,118
spicy.lowSpicy,704
savory,
savory.highSavory,300
savory.lowSavory,522
bitter,
bitter.highBitter,557
bitter.lowBitter,265
sweet,
sweet.highSweet,120
sweet.lowSweet,702
sour,
sour.highSour,257
sour.lowSour,565
salty,
salty.highSalty,656
salty.lowSalty,166
K,
K.highK,42
K.lowK,780
saturatedFat,
saturatedFat.highSaturatedFat,6
saturatedFat.lowSaturatedFat,816
FE,
FE.HasFE,186
FE.NoFE,636
sugar,
sugar.highSugar,26
sugar.lowSugar,796
dietaryFiber,
dietaryFiber.highDietaryFiber,12
dietaryFiber.lowDietaryFiber,810
protein,
protein.highProtein,443
protein.lowProtein,379
carb,
carb.highCarb,71
carb.lowCarb,751
cholesterol,
cholesterol.highCholesterol,499
cholesterol.lowCholesterol,323
CA,
CA.highCA,615
CA.lowCA,207
VA,
VA.highVA,208
VA.lowVA,614
transFat,
transFat.highTransFat,76
transFat.lowTransFat,746
energy,
energy.highEnergy,29
energy.lowEnergy,793
VC,
VC.highVC,172
VC.lowVC,650
fat,
fat.highFat,148
fat.lowFat,674
NA,
NA.highNA,192
NA.lowNA,630
