id,value
spicy,
spicy.highSpicy,208
spicy.lowSpicy,482
savory,
savory.highSavory,357
savory.lowSavory,333
bitter,
bitter.highBitter,490
bitter.lowBitter,200
sweet,
sweet.highSweet,168
sweet.lowSweet,522
sour,
sour.highSour,222
sour.lowSour,468
salty,
salty.highSalty,568
salty.lowSalty,122
K,
K.highK,28
K.lowK,662
saturatedFat,
saturatedFat.highSaturatedFat,24
saturatedFat.lowSaturatedFat,666
FE,
FE.HasFE,214
FE.NoFE,476
sugar,
sugar.highSugar,13
sugar.lowSugar,677
dietaryFiber,
dietaryFiber.highDietaryFiber,4
dietaryFiber.lowDietaryFiber,686
protein,
protein.highProtein,418
protein.lowProtein,272
carb,
carb.highCarb,46
carb.lowCarb,644
cholesterol,
cholesterol.highCholesterol,470
cholesterol.lowCholesterol,220
CA,
CA.highCA,515
CA.lowCA,175
VA,
VA.highVA,181
VA.lowVA,509
transFat,
transFat.highTransFat,98
transFat.lowTransFat,592
energy,
energy.highEnergy,28
energy.lowEnergy,662
VC,
VC.highVC,126
VC.lowVC,564
fat,
fat.highFat,178
fat.lowFat,512
NA,
NA.highNA,102
NA.lowNA,588
