id,value
spicy,
spicy.highSpicy,8711
spicy.lowSpicy,2350
savory,
savory.highSavory,3514
savory.lowSavory,7547
bitter,
bitter.highBitter,6571
bitter.lowBitter,4490
sweet,
sweet.highSweet,556
sweet.lowSweet,10505
sour,
sour.highSour,6053
sour.lowSour,5008
salty,
salty.highSalty,7342
salty.lowSalty,3719
K,
K.highK,566
K.lowK,10495
saturatedFat,
saturatedFat.highSaturatedFat,157
saturatedFat.lowSaturatedFat,10904
FE,
FE.HasFE,3024
FE.NoFE,8037
sugar,
sugar.highSugar,179
sugar.lowSugar,10882
dietaryFiber,
dietaryFiber.highDietaryFiber,343
dietaryFiber.lowDietaryFiber,10718
protein,
protein.highProtein,4868
protein.lowProtein,6193
carb,
carb.highCarb,399
carb.lowCarb,10662
cholesterol,
cholesterol.highCholesterol,6229
cholesterol.lowCholesterol,4832
CA,
CA.highCA,9319
CA.lowCA,1742
VA,
VA.highVA,2507
VA.lowVA,8554
transFat,
transFat.highTransFat,1125
transFat.lowTransFat,9936
energy,
energy.highEnergy,224
energy.lowEnergy,10837
VC,
VC.highVC,2948
VC.lowVC,8113
fat,
fat.highFat,1542
fat.lowFat,9519
NA,
NA.highNA,975
NA.lowNA,10086
