id,value
spicy,
spicy.highSpicy,390
spicy.lowSpicy,1143
savory,
savory.highSavory,461
savory.lowSavory,1072
bitter,
bitter.highBitter,377
bitter.lowBitter,1156
sweet,
sweet.highSweet,246
sweet.lowSweet,1287
sour,
sour.highSour,783
sour.lowSour,750
salty,
salty.highSalty,490
salty.lowSalty,1043
K,
K.highK,101
K.lowK,1432
saturatedFat,
saturatedFat.highSaturatedFat,21
saturatedFat.lowSaturatedFat,1512
FE,
FE.HasFE,500
FE.NoFE,1033
sugar,
sugar.highSugar,45
sugar.lowSugar,1488
dietaryFiber,
dietaryFiber.highDietaryFiber,52
dietaryFiber.lowDietaryFiber,1481
protein,
protein.highProtein,800
protein.lowProtein,733
carb,
carb.highCarb,80
carb.lowCarb,1453
cholesterol,
cholesterol.highCholesterol,852
cholesterol.lowCholesterol,681
CA,
CA.highCA,1255
CA.lowCA,278
VA,
VA.highVA,609
VA.lowVA,924
transFat,
transFat.highTransFat,76
transFat.lowTransFat,1457
energy,
energy.highEnergy,31
energy.lowEnergy,1502
VC,
VC.highVC,446
VC.lowVC,1087
fat,
fat.highFat,283
fat.lowFat,1250
NA,
NA.highNA,67
NA.lowNA,1466
