id,value
spicy,
spicy.highSpicy,2
spicy.lowSpicy,5
savory,
savory.highSavory,4
savory.lowSavory,3
bitter,
bitter.highBitter,3
bitter.lowBitter,4
sweet,
sweet.highSweet,0
sweet.lowSweet,7
sour,
sour.highSour,5
sour.lowSour,2
salty,
salty.highSalty,4
salty.lowSalty,3
K,
K.highK,0
K.lowK,7
saturatedFat,
saturatedFat.highSaturatedFat,0
saturatedFat.lowSaturatedFat,7
FE,
FE.HasFE,3
FE.NoFE,4
sugar,
sugar.highSugar,0
sugar.lowSugar,7
dietaryFiber,
dietaryFiber.highDietaryFiber,0
dietaryFiber.lowDietaryFiber,7
protein,
protein.highProtein,7
protein.lowProtein,0
carb,
carb.highCarb,0
carb.lowCarb,7
cholesterol,
cholesterol.highCholesterol,5
cholesterol.lowCholesterol,2
CA,
CA.highCA,7
CA.lowCA,0
VA,
VA.highVA,3
VA.lowVA,4
transFat,
transFat.highTransFat,0
transFat.lowTransFat,7
energy,
energy.highEnergy,0
energy.lowEnergy,7
VC,
VC.highVC,4
VC.lowVC,3
fat,
fat.highFat,0
fat.lowFat,7
NA,
NA.highNA,0
NA.lowNA,7
