id,value
spicy,
spicy.highSpicy,20
spicy.lowSpicy,177
savory,
savory.highSavory,61
savory.lowSavory,136
bitter,
bitter.highBitter,43
bitter.lowBitter,154
sweet,
sweet.highSweet,62
sweet.lowSweet,135
sour,
sour.highSour,72
sour.lowSour,125
salty,
salty.highSalty,83
salty.lowSalty,114
K,
K.highK,4
K.lowK,193
saturatedFat,
saturatedFat.highSaturatedFat,9
saturatedFat.lowSaturatedFat,188
FE,
FE.HasFE,35
FE.NoFE,162
sugar,
sugar.highSugar,18
sugar.lowSugar,179
dietaryFiber,
dietaryFiber.highDietaryFiber,4
dietaryFiber.lowDietaryFiber,193
protein,
protein.highProtein,35
protein.lowProtein,162
carb,
carb.highCarb,15
carb.lowCarb,182
cholesterol,
cholesterol.highCholesterol,94
cholesterol.lowCholesterol,103
CA,
CA.highCA,103
CA.lowCA,94
VA,
VA.highVA,34
VA.lowVA,163
transFat,
transFat.highTransFat,22
transFat.lowTransFat,175
energy,
energy.highEnergy,9
energy.lowEnergy,188
VC,
VC.highVC,28
VC.lowVC,169
fat,
fat.highFat,22
fat.lowFat,175
NA,
NA.highNA,3
NA.lowNA,194
