id,value
spicy,
spicy.highSpicy,558
spicy.lowSpicy,628
savory,
savory.highSavory,373
savory.lowSavory,813
bitter,
bitter.highBitter,703
bitter.lowBitter,483
sweet,
sweet.highSweet,130
sweet.lowSweet,1056
sour,
sour.highSour,640
sour.lowSour,546
salty,
salty.highSalty,774
salty.lowSalty,412
K,
K.highK,88
K.lowK,1098
saturatedFat,
saturatedFat.highSaturatedFat,65
saturatedFat.lowSaturatedFat,1121
FE,
FE.HasFE,395
FE.NoFE,791
sugar,
sugar.highSugar,39
sugar.lowSugar,1147
dietaryFiber,
dietaryFiber.highDietaryFiber,12
dietaryFiber.lowDietaryFiber,1174
protein,
protein.highProtein,691
protein.lowProtein,495
carb,
carb.highCarb,77
carb.lowCarb,1109
cholesterol,
cholesterol.highCholesterol,798
cholesterol.lowCholesterol,388
CA,
CA.highCA,987
CA.lowCA,199
VA,
VA.highVA,374
VA.lowVA,812
transFat,
transFat.highTransFat,65
transFat.lowTransFat,1121
energy,
energy.highEnergy,48
energy.lowEnergy,1138
VC,
VC.highVC,459
VC.lowVC,727
fat,
fat.highFat,247
fat.lowFat,939
NA,
NA.highNA,182
NA.lowNA,1004
